DateTime,Open,High,Low,Close,Volume
2023-01-04 09:00:00,89.9732,90.0031,89.3853,89.6743,26033
2023-01-04 09:15:00,89.6244,90.1724,89.1262,89.9234,119870
2023-01-04 09:30:00,90.0230,90.3219,88.4886,88.5185,2074744
2023-01-04 09:45:00,88.5284,88.7476,88.1199,88.2195,1347504
2023-01-04 10:00:00,88.2195,88.7775,87.1783,87.3627,1449847
2023-01-04 10:15:00,87.3676,87.5819,86.9551,87.2680,1070378
2023-01-04 10:30:00,87.2630,87.6915,86.9741,87.6616,900112
2023-01-04 10:45:00,87.6516,87.9704,87.5819,87.7413,676804
2023-01-04 11:00:00,87.7413,87.8011,87.3029,87.5320,875871
2023-01-04 11:15:00,87.5420,88.0502,87.4723,88.0502,743214
2023-01-04 11:30:00,88.0502,88.5583,88.0502,88.5284,849056
2023-01-04 11:45:00,88.5198,88.5284,88.3242,88.3441,674996
2023-01-04 12:00:00,88.3491,88.4786,88.2245,88.4387,396025
2023-01-04 12:15:00,88.4487,88.5683,88.3291,88.3391,452087
2023-01-04 12:30:00,88.3491,88.6480,88.3092,88.5284,548570
2023-01-04 12:45:00,88.5284,88.5434,88.0502,88.0551,452076
2023-01-04 13:00:00,88.0502,88.0601,87.6715,87.9854,558694
2023-01-04 13:15:00,87.9854,88.2843,87.9705,88.1697,307697
2023-01-04 13:30:00,88.1697,88.2594,88.0850,88.1747,398320
2023-01-04 13:45:00,88.1797,88.1896,87.9007,87.9107,368315
2023-01-04 14:00:00,87.9306,88.4188,87.1136,87.7413,1075436
2023-01-04 14:15:00,87.7263,88.1099,87.2132,87.3178,711927
2023-01-04 14:30:00,87.3128,87.8011,87.1733,87.5819,667414
2023-01-04 14:45:00,87.6018,87.9094,87.4125,87.7911,752501
2023-01-04 15:00:00,87.7911,87.9904,87.5805,87.7014,760923
2023-01-04 15:15:00,87.6915,87.8210,87.3826,87.3925,683531
2023-01-04 15:30:00,87.3826,87.4125,86.9940,87.0936,825182
2023-01-04 15:45:00,87.0936,87.8808,86.9940,87.7612,2825783
2023-01-04 16:00:00,87.7612,87.9007,87.6715,87.7612,5134501
2023-01-04 16:15:00,87.7612,88.3024,87.7313,87.7313,20114
2023-01-04 16:30:00,87.7114,87.7114,87.5819,87.6117,5610
2023-01-04 16:45:00,87.6915,87.7014,87.6501,87.7014,706
2023-01-04 17:00:00,87.7202,87.7712,87.6516,87.7712,4729
2023-01-04 17:15:00,87.7712,87.9064,87.7712,87.9064,6223
2023-01-04 17:30:00,87.8310,87.8608,87.7914,87.7914,4102
2023-01-04 17:45:00,87.7915,87.8509,87.7811,87.8011,8860
2023-01-04 18:00:00,87.7911,87.7911,87.6117,87.6117,28828
2023-01-04 18:15:00,87.7612,87.7811,87.5819,87.7214,73382
2023-01-04 18:30:00,87.6416,87.7214,87.5918,87.5918,4798
2023-01-04 18:45:00,87.5918,87.7811,87.5819,87.6815,8736
2023-01-04 19:00:00,87.6317,87.6714,87.5320,87.6217,8503
2023-01-04 19:15:00,87.6515,87.6515,87.6217,87.6317,1036
2023-01-04 19:30:00,87.6317,87.7114,87.4822,87.4822,6459
2023-01-04 19:45:00,87.4523,87.5619,87.4424,87.5619,6671
2023-01-05 04:00:00,87.4523,87.5420,87.1634,87.5420,1369
2023-01-05 04:15:00,87.4623,87.7911,87.4623,87.7911,1991
2023-01-05 04:30:00,87.6815,87.7114,87.3328,87.3826,1816
2023-01-05 04:45:00,87.5021,87.7014,87.4125,87.7014,819
2023-01-05 05:15:00,87.7313,87.7811,87.7313,87.7811,600
2023-01-05 05:30:00,87.7811,87.8708,87.7811,87.8509,1352
2023-01-05 05:45:00,87.8310,87.8310,87.8310,87.8310,100
2023-01-05 06:00:00,87.9306,88.0502,87.9007,88.0502,1282
2023-01-05 06:15:00,88.0800,88.0800,87.9206,87.9704,638
2023-01-05 06:30:00,87.9107,87.9206,87.8310,87.8608,2096
2023-01-05 06:45:00,88.0203,88.1299,88.0203,88.0800,500
2023-01-05 07:00:00,87.9306,87.9306,87.8409,87.8409,4666
2023-01-05 07:15:00,87.8808,88.0800,87.8808,88.0402,3479
2023-01-05 07:30:00,88.0402,88.2096,87.9904,87.9904,7132
2023-01-05 07:45:00,87.9804,87.9804,87.7811,87.7811,5400
2023-01-05 08:00:00,87.9107,88.1099,87.1733,87.8210,20308
2023-01-05 08:15:00,87.8210,87.8210,87.0936,87.4025,9949
2023-01-05 08:30:00,87.3826,87.3826,86.8844,87.3826,15104
2023-01-05 08:45:00,87.2829,87.2929,87.1235,87.2929,12743
2023-01-05 09:00:00,87.1933,87.2829,86.8545,86.9541,42645
2023-01-05 09:15:00,87.0737,87.1235,86.7848,87.0538,18811
2023-01-05 09:30:00,87.1435,87.2531,86.4510,86.5655,2190260
2023-01-05 09:45:00,86.5655,86.8848,86.2367,86.7349,1132993
2023-01-05 10:00:00,86.7200,87.1136,86.4559,86.8844,836670
2023-01-05 10:15:00,86.8844,86.9541,86.4261,86.5058,650376
2023-01-05 10:30:00,86.5058,86.5456,86.1720,86.3762,852570
2023-01-05 10:45:00,86.3762,86.4061,86.0375,86.1670,655018
2023-01-05 11:00:00,86.1670,86.4360,86.0973,86.2467,444755
2023-01-05 11:15:00,86.2567,86.3165,85.8980,86.0225,800015
2023-01-05 11:30:00,86.0175,86.4076,85.8183,86.3962,845700
2023-01-05 11:45:00,86.3962,86.5058,86.1969,86.1969,407816
2023-01-05 12:00:00,86.1969,86.5655,86.1670,86.2677,345255
2023-01-05 12:15:00,86.2666,86.4161,86.0624,86.2168,465608
2023-01-05 12:30:00,86.2218,86.6053,86.2118,86.3165,443792
2023-01-05 12:45:00,86.3065,86.3364,86.0225,86.0285,400634
2023-01-05 13:00:00,86.0325,86.1271,85.7485,85.7588,431500
2023-01-05 13:15:00,85.7585,86.6752,85.7535,86.4495,742152
2023-01-05 13:30:00,86.4559,86.5755,86.3762,86.4759,454883
2023-01-05 13:45:00,86.4858,86.5805,86.1670,86.1869,528363
2023-01-05 14:00:00,86.1969,86.3713,86.1271,86.1969,352962
2023-01-05 14:15:00,86.2069,86.3862,86.1919,86.2228,241750
2023-01-05 14:30:00,86.2268,86.5357,86.2168,86.4410,395203
2023-01-05 14:45:00,86.4410,86.6936,86.4211,86.4310,416977
2023-01-05 15:00:00,86.4261,86.4261,86.1869,86.2567,484473
2023-01-05 15:15:00,86.2567,86.3065,85.8482,85.9677,765039
2023-01-05 15:30:00,85.9777,86.0973,85.8780,85.9777,663427
2023-01-05 15:45:00,85.9777,86.1172,85.5891,85.8780,2065976
2023-01-05 16:00:00,85.8880,85.9079,85.7884,85.8880,4692732
2023-01-05 16:15:00,85.9279,86.1412,85.9079,85.9478,17042
2023-01-05 16:30:00,85.9378,85.9378,85.9179,85.9179,3390
2023-01-05 16:45:00,85.9079,85.9677,85.8880,85.9079,206370
2023-01-05 17:00:00,85.9279,85.9378,85.8880,85.8880,3438
2023-01-05 17:15:00,85.8980,85.8980,85.8382,85.8382,900
2023-01-05 17:30:00,85.8422,85.9079,85.8382,85.9079,2847
2023-01-05 17:45:00,85.8681,85.9268,85.8681,85.8681,3800
2023-01-05 18:00:00,85.9279,85.9876,85.8980,85.8980,3225
2023-01-05 18:15:00,85.9777,85.9777,85.8980,85.8980,403
2023-01-05 18:30:00,85.9777,85.9777,85.9079,85.9378,1387
2023-01-05 18:45:00,85.9777,85.9876,85.9179,85.9875,4200
2023-01-05 19:00:00,85.9378,85.9477,85.8980,85.9477,1690
2023-01-05 19:15:00,85.9777,85.9876,85.9478,85.9478,365
2023-01-05 19:30:00,85.9876,86.0375,85.9876,85.9976,4085
2023-01-05 19:45:00,86.0175,86.0474,85.9378,86.0474,2992
2023-01-06 04:00:00,86.1371,86.1371,85.7186,85.7186,1698
2023-01-06 04:15:00,85.8880,85.8880,85.7485,85.7485,1617
2023-01-06 04:30:00,85.6788,85.7087,85.6788,85.6788,426
2023-01-06 04:45:00,85.7784,85.8282,85.7186,85.8282,3020
2023-01-06 05:00:00,85.8880,85.9478,85.8880,85.9478,910
2023-01-06 05:15:00,85.9179,85.9179,85.9179,85.9179,100
2023-01-06 06:00:00,85.8382,85.8382,85.7585,85.7585,566
2023-01-06 06:30:00,85.8581,85.8581,85.7684,85.7684,274
2023-01-06 07:00:00,85.8382,85.8382,85.7186,85.7884,1373
2023-01-06 07:15:00,85.7286,85.7286,85.6887,85.7087,609
2023-01-06 07:30:00,85.7386,85.7485,85.6887,85.6887,1354
2023-01-06 07:45:00,85.6887,85.7386,85.6688,85.7386,3619
2023-01-06 08:00:00,85.7187,85.8880,85.5991,85.5991,15892
2023-01-06 08:15:00,85.5891,85.6588,85.2902,85.4895,24916
2023-01-06 08:30:00,85.5393,87.5719,85.5393,86.4061,46171
2023-01-06 08:45:00,86.3762,87.5121,86.3563,87.0438,74728
2023-01-06 09:00:00,87.0139,87.0837,86.3663,86.6552,18495
2023-01-06 09:15:00,86.5257,86.6851,86.0674,86.4460,44428
2023-01-06 09:30:00,86.4460,86.5755,84.5529,84.6525,2911092
2023-01-06 09:45:00,84.6425,85.3898,84.5529,84.8916,1272588
2023-01-06 10:00:00,84.8916,85.8780,84.8418,85.5394,1699326
2023-01-06 10:15:00,85.5343,85.7983,85.3201,85.4596,1008010
2023-01-06 10:30:00,85.4596,85.8083,85.3599,85.5223,1324247
2023-01-06 10:45:00,85.5293,85.9179,85.3948,85.8232,1317920
2023-01-06 11:00:00,85.8282,86.5257,85.6987,86.2019,1112280
2023-01-06 11:15:00,86.2069,86.2268,85.7983,85.9578,1169859
2023-01-06 11:30:00,85.9578,86.1869,85.8880,85.9328,906272
2023-01-06 11:45:00,85.9328,86.2866,85.8731,85.9528,1078840
2023-01-06 12:00:00,85.9578,86.2118,85.9279,85.9677,783036
2023-01-06 12:15:00,85.9677,86.0026,85.6688,85.7934,1089834
2023-01-06 12:30:00,85.7983,85.8581,85.5692,85.6781,504489
2023-01-06 12:45:00,85.6788,85.7386,85.2703,85.4297,1004919
2023-01-06 13:00:00,85.4396,85.8581,85.3799,85.8482,770419
2023-01-06 13:15:00,85.8482,85.9141,85.7485,85.8780,901771
2023-01-06 13:30:00,85.8780,85.9677,85.8183,85.9079,1062972
2023-01-06 13:45:00,85.9129,86.1072,85.9079,85.9676,651559
2023-01-06 14:00:00,85.9627,86.2866,85.9186,86.2218,954411
2023-01-06 14:15:00,86.2268,86.5357,86.2069,86.3165,1017036
2023-01-06 14:30:00,86.3165,86.5257,86.2567,86.5008,711615
2023-01-06 14:45:00,86.4958,86.8246,86.3663,86.7897,891726
2023-01-06 15:00:00,86.7947,87.0598,86.7848,86.9840,857648
2023-01-06 15:15:00,86.9840,87.0637,86.8445,86.9840,657272
2023-01-06 15:30:00,86.9840,87.3726,86.9790,87.2829,1251597
2023-01-06 15:45:00,87.2780,87.2979,86.8246,87.0139,2779142
2023-01-06 16:00:00,87.0040,87.1435,86.8246,86.9442,5146065
2023-01-06 16:15:00,86.9840,87.0338,86.8645,86.9143,6638
2023-01-06 16:30:00,86.9741,87.0239,86.9143,86.9541,3537
2023-01-06 16:45:00,86.9541,87.0239,86.9043,87.0239,25525
2023-01-06 17:00:00,86.9442,86.9741,86.9058,86.9741,566
2023-01-06 17:15:00,86.9741,86.9741,86.8944,86.8944,9415
2023-01-06 17:30:00,86.8944,86.8944,86.8844,86.8844,612
2023-01-06 17:45:00,86.8844,86.9735,86.8844,86.8844,400
2023-01-06 18:00:00,86.9043,86.9741,86.9043,86.9043,971
2023-01-06 18:15:00,86.9641,86.9840,86.9641,86.9641,1239
2023-01-06 18:30:00,86.9641,86.9641,86.8346,86.8844,7132
2023-01-06 18:45:00,86.9342,86.9840,86.9342,86.9840,400
2023-01-06 19:00:00,86.9342,86.9342,86.8844,86.9043,428
2023-01-06 19:15:00,86.8645,86.9442,86.8346,86.9442,1067
2023-01-06 19:30:00,86.9043,86.9043,86.9043,86.9043,412
2023-01-06 19:45:00,86.9342,86.9641,86.9043,86.9541,4702
2023-01-09 04:00:00,87.2331,87.4125,87.2331,87.2730,3094
2023-01-09 04:15:00,87.3128,87.4523,87.3128,87.4523,1224
2023-01-09 04:30:00,87.5121,87.5121,87.4822,87.4822,786
2023-01-09 04:45:00,87.5221,87.5221,87.5221,87.5221,396
2023-01-09 05:00:00,87.4922,87.4922,87.3826,87.3826,1007
2023-01-09 05:30:00,87.3029,87.3029,87.3029,87.3029,164
2023-01-09 05:45:00,87.2431,87.3328,87.2431,87.3328,1512
2023-01-09 06:00:00,87.2929,87.3627,87.2232,87.3627,1306
2023-01-09 06:15:00,87.3328,87.3328,87.1435,87.1933,3407
2023-01-09 06:30:00,87.2232,87.2829,87.1933,87.1933,1519
2023-01-09 06:45:00,87.2730,87.2730,87.1933,87.1933,1557
2023-01-09 07:00:00,87.2730,87.3826,87.2730,87.3726,2696
2023-01-09 07:15:00,87.3627,87.4224,87.3228,87.4224,3903
2023-01-09 07:30:00,87.4224,87.6815,87.4224,87.5619,5035
2023-01-09 07:45:00,87.5819,87.6516,87.5819,87.6516,5159
2023-01-09 08:00:00,87.1933,87.7014,87.1235,87.4309,27987
2023-01-09 08:15:00,87.4324,87.6018,87.4324,87.6018,1874
2023-01-09 08:30:00,87.5818,87.7313,87.5320,87.6815,10998
2023-01-09 08:45:00,87.6815,87.8509,87.6516,87.6815,15854
2023-01-09 09:00:00,87.6416,87.6868,87.5021,87.6018,16775
2023-01-09 09:15:00,87.6018,88.0502,87.6018,87.9704,18185
2023-01-09 09:30:00,87.9704,88.5683,87.7911,88.5234,2085524
2023-01-09 09:45:00,88.5185,88.9170,88.4928,88.7875,1140486
2023-01-09 10:00:00,88.7875,89.1063,88.7177,88.9419,928721
2023-01-09 10:15:00,88.9369,89.1362,88.7825,88.7875,878905
2023-01-09 10:30:00,88.7875,89.4401,88.7177,89.4401,1057323
2023-01-09 10:45:00,89.4414,89.5248,89.0565,89.0864,773643
2023-01-09 11:00:00,89.0864,89.5148,88.9967,89.4351,958593
2023-01-09 11:15:00,89.4351,89.5746,89.2687,89.4849,988419
2023-01-09 11:30:00,89.4849,89.5746,89.3456,89.4937,796274
2023-01-09 11:45:00,89.4849,89.5348,89.3903,89.4993,752614
2023-01-09 12:00:00,89.5049,89.5547,89.3504,89.4551,687743
2023-01-09 12:15:00,89.4451,89.5746,89.2757,89.5726,487259
2023-01-09 12:30:00,89.5647,89.5746,89.2358,89.2458,410551
2023-01-09 12:45:00,89.2458,89.4999,89.2259,89.4637,626030
2023-01-09 13:00:00,89.4650,89.5597,89.3733,89.5248,485501
2023-01-09 13:15:00,89.5248,89.7241,89.5148,89.6145,575551
2023-01-09 13:30:00,89.6244,89.6294,88.9967,89.0366,681200
2023-01-09 13:45:00,89.0266,89.0266,88.7177,88.8572,705996
2023-01-09 14:00:00,88.8473,89.0353,88.7078,88.8074,486573
2023-01-09 14:15:00,88.7875,88.8572,88.6380,88.6898,404031
2023-01-09 14:30:00,88.6978,88.7277,88.2594,88.3391,420053
2023-01-09 14:45:00,88.3491,88.4188,88.0302,88.0800,500251
2023-01-09 15:00:00,88.0800,88.2096,87.8708,87.8957,722416
2023-01-09 15:15:00,87.9007,88.1548,87.8608,87.9440,597030
2023-01-09 15:30:00,87.9455,87.9954,87.6267,87.9256,913568
2023-01-09 15:45:00,87.9306,87.9356,87.5420,87.7313,2101881
2023-01-09 16:00:00,87.7214,87.7612,87.5719,87.6516,3465328
2023-01-09 16:15:00,87.6217,88.6713,87.4723,87.6014,138150
2023-01-09 16:30:00,87.7014,87.7014,87.5520,87.5520,9402
2023-01-09 16:45:00,87.5719,87.6117,87.5420,87.5719,4031
2023-01-09 17:00:00,87.5819,87.6815,87.5719,87.5719,2402
2023-01-09 17:15:00,87.5819,87.5918,87.5520,87.5918,1570
2023-01-09 17:30:00,87.5819,87.5918,87.5819,87.5918,1902
2023-01-09 17:45:00,87.5619,87.5918,87.5420,87.5420,3774
2023-01-09 18:00:00,87.5420,87.5818,87.5221,87.5221,7344
2023-01-09 18:15:00,87.5619,87.6117,87.5619,87.5819,1247
2023-01-09 18:30:00,87.5819,87.6117,87.5819,87.6117,1390
2023-01-09 18:45:00,87.6217,87.6217,87.6217,87.6217,100
2023-01-09 19:00:00,87.6117,87.6117,87.4922,87.5719,1168
2023-01-09 19:15:00,87.4822,87.5021,87.3328,87.3826,8148
2023-01-09 19:45:00,87.4025,87.4822,87.3228,87.4723,3944
2023-01-10 04:00:00,87.3328,87.5819,87.3328,87.4224,1328
2023-01-10 04:15:00,87.2829,87.4224,87.2531,87.4224,3157
2023-01-10 04:30:00,87.5420,87.7014,87.4922,87.6516,2043
2023-01-10 04:45:00,87.6217,87.6815,87.6018,87.6018,1311
2023-01-10 05:00:00,87.6117,87.6117,87.6018,87.6018,574
2023-01-10 05:15:00,87.5719,87.6317,87.5619,87.5918,1402
2023-01-10 05:30:00,87.6715,87.6815,87.4822,87.4822,6739
2023-01-10 05:45:00,87.6516,87.6915,87.5520,87.6915,1400
2023-01-10 06:00:00,87.5719,87.5719,87.2829,87.2829,1529
2023-01-10 06:15:00,87.3328,87.3328,87.1335,87.2132,18866
2023-01-10 06:30:00,87.1833,87.1833,86.8944,87.0837,9440
2023-01-10 06:45:00,87.0837,87.1634,86.9541,86.9741,4567
2023-01-10 07:00:00,87.0538,87.1435,86.9641,87.0837,17794
2023-01-10 07:15:00,87.1136,87.1136,86.7947,86.8146,9039
2023-01-10 07:30:00,86.8047,86.8047,86.2965,86.3663,65966
2023-01-10 07:45:00,86.3165,86.3165,86.0076,86.1770,39403
2023-01-10 08:00:00,86.1670,87.7199,85.6887,85.7884,62457
2023-01-10 08:15:00,85.8880,85.8880,85.6290,85.7684,56581
2023-01-10 08:30:00,85.6987,85.8382,85.6588,85.8382,74707
2023-01-10 08:45:00,85.8083,85.8382,85.7485,85.8382,38463
2023-01-10 09:00:00,85.8382,86.0275,85.4630,85.7983,151900
2023-01-10 09:15:00,85.8083,85.8880,85.3799,85.5991,102181
2023-01-10 09:30:00,85.6688,86.7947,85.5193,86.3663,3317946
2023-01-10 09:45:00,86.3563,87.5221,86.0773,87.2331,1796959
2023-01-10 10:00:00,87.2431,88.2768,87.0837,88.1299,1476776
2023-01-10 10:15:00,88.1498,88.3491,87.3729,87.4758,1022569
2023-01-10 10:30:00,87.4723,87.4723,86.5954,86.7748,1529528
2023-01-10 10:45:00,86.7748,87.8559,86.6652,87.7861,705114
2023-01-10 11:00:00,87.7911,88.1598,87.7014,87.9904,570760
2023-01-10 11:15:00,87.9804,88.1000,87.6815,87.7313,735429
2023-01-10 11:30:00,87.7214,87.8210,87.3826,87.4922,478518
2023-01-10 11:45:00,87.4772,87.7014,87.3726,87.6367,375396
2023-01-10 12:00:00,87.6317,87.9505,87.3228,87.9107,430864
2023-01-10 12:15:00,87.9107,87.9206,87.7114,87.8060,313987
2023-01-10 12:30:00,87.8011,88.1697,87.7762,88.0003,388503
2023-01-10 12:45:00,87.9904,88.0900,87.9306,88.0053,257775
2023-01-10 13:00:00,88.0003,88.2146,87.9306,88.0601,344146
2023-01-10 13:15:00,88.0551,88.0751,87.8509,87.9804,270896
2023-01-10 13:30:00,87.9804,88.1000,87.8708,87.8808,274342
2023-01-10 13:45:00,87.8907,87.9904,87.7149,87.9586,324350
2023-01-10 14:00:00,87.9555,88.0402,87.8310,87.8608,307754
2023-01-10 14:15:00,87.8608,87.9904,87.8160,87.9555,327035
2023-01-10 14:30:00,87.9555,88.0502,87.7064,87.7363,365191
2023-01-10 14:45:00,87.7413,87.7811,87.6516,87.7114,358269
2023-01-10 15:00:00,87.7164,87.8011,87.5489,87.7911,534687
